date,close,volume,count,capital
2011-10-14,104.85,288427000,133785,11807677000
2011-10-17,106.39,297432000,135655,12286807000
2011-10-18,105.32,264564000,123085,12035119000
2011-10-19,105.15,266216000,130939,12331404000
2011-10-20,103.92,236226000,114785,10312442000
2011-10-21,103.89,191584000,96940,8779852000
2011-10-24,105.83,270406000,123415,11241970000
2011-10-25,105.67,300390000,133264,13033867000
2011-10-26,105.85,286262000,128633,10962262000
2011-10-27,106.34,352412000,154706,13434219000
2011-10-28,105.83,384261000,164045,14870550000
2011-10-31,105.04,290857000,131073,10802158000
2011-11-01,105.63,312773000,138580,11851319000
2011-11-02,105.52,342684000,145667,11982423000
2011-11-03,104.52,309771000,139541,12389460000
2011-11-04,106.72,356148000,143779,12890959000
2011-11-07,107.87,332123000,147844,13373345000
2011-11-08,107.69,354767000,160561,14813325000
2011-11-09,106.93,367819000,157573,13462234000
2011-11-10,103.39,382632000,164514,13748440000
2011-11-11,103.31,309040000,137463,10920503000
2011-11-14,105.13,329022000,136974,12520403000
2011-11-15,104.26,292420000,114420,10012052000
2011-11-16,103.18,280781000,128412,11099498000
2011-11-17,103.43,255352000,115792,10206649000
2011-11-18,101.65,311641000,117300,9516839000
2011-11-21,97.67,307661000,128555,9668072000
2011-11-22,94.79,317465000,133766,9895916000
2011-11-23,91.6,328969000,134587,10216651000
2011-11-24,91.53,330226000,136516,10615889000
2011-11-25,90.79,261943000,115489,8904834000
2011-11-28,92.53,226992000,91505,7380016000
2011-11-29,94.44,311889000,125057,10672666000
2011-11-30,92.85,435465000,137859,10888848000
2011-12-01,96.09,413013000,149788,12550471000
2011-12-02,95.4,251886000,104784,8205970000
2011-12-05,94.67,191430000,84387,6832358000
2011-12-06,92.52,229334000,100624,7753491000
2011-12-07,92.56,211319000,92774,7219092000
2011-12-08,91.1,214658000,83507,5975088000
2011-12-09,90.34,241949000,100997,7560872000
2011-12-12,90.47,198653000,88827,6363813000
2011-12-13,89.77,200948000,88927,6438651000
2011-12-14,90.98,207737000,93201,6924644000
2011-12-15,89.36,193270000,90042,6763183000
