date,open,high,low,close
2017-09-18,142.82,143.83,142.82,143.42
2017-09-19,143.5,144.28,142.42,142.47
2017-09-20,142.55,143.2,141.69,142.07
2017-09-21,142.13,143.75,142.12,143.75
2017-09-22,143.76,144.11,141.83,142.14
2017-09-25,142.24,142.58,139.45,139.96
2017-09-26,139.93,140.6,137.21,137.37
2017-09-27,137.44,139.35,137.44,139.35
2017-09-28,139.43,140.26,139.29,139.47
2017-09-29,139.52,139.61,137.82,138.7
2017-09-30,138.83,140.42,138.83,140.42
2017-10-02,140.53,142.06,140.53,142.06
2017-10-03,142.13,142.71,142.13,142.24
2017-10-05,142.26,143.55,142.26,143.28
2017-10-06,143.38,143.86,142.66,142.97
2017-10-11,143.06,143.98,142.17,142.58
2017-10-12,142.7,144.33,142.7,144.09
2017-10-13,144.03,144.38,143.79,144.24
2017-10-16,144.29,145.32,144.29,144.61
2017-10-17,144.61,145.23,143.7,143.73
2017-10-18,143.82,144.67,142.85,143.27
2017-10-19,143.32,144.96,143.32,144.87
2017-10-20,144.85,145.38,144.12,144.77
2017-10-23,144.91,145.71,144.91,145.14
2017-10-24,145.14,146.23,144.83,146.03
2017-10-25,146.17,147.19,145.53,145.53
2017-10-26,145.52,146.12,145.17,146.08
2017-10-27,146.11,147.02,143.53,143.64
2017-10-30,143.89,145.35,142.5,143.82
2017-10-31,144.04,145.36,144.04,145.36
2017-11-01,145.45,146.52,145.45,146.17
2017-11-02,146.22,147.13,146.19,146.46
2017-11-03,146.54,147.03,145.77,146.11
2017-11-06,146.29,146.92,145.76,146.26
2017-11-07,146.35,146.87,146.22,146.63
2017-11-08,146.77,147.79,146.77,147.43
2017-11-09,147.53,148.72,145.38,145.89
2017-11-10,145.88,147.39,144.79,147.39
2017-11-13,147.48,148.17,146.66,146.66
2017-11-14,146.79,147.29,145.24,146.11
2017-11-15,146.2,146.65,145.71,146.65
2017-11-16,146.6,147.59,146.46,146.86
2017-11-17,147.01,148.94,147.01,147.98
2017-11-20,148.18,148.7,147.8,148.02
2017-11-21,148.16,150.23,148.16,150.16
2017-11-22,150.21,151.57,149.29,149.82
2017-11-23,149.84,150.28,149.27,150.2
2017-11-24,150.29,150.99,150.18,150.19
2017-11-27,150.32,151.19,149.68,149.76
2017-11-28,149.83,150.49,149.47,150.18
2017-11-29,150.37,151.72,150.37,151.28
2017-11-30,151.08,151.08,149.21,150.29
2017-12-01,150.42,151.35,147.54,148.48
2017-12-04,148.73,149.3,148.26,148.56
2017-12-05,148.53,148.71,145.8,145.99
2017-12-06,146.12,146.56,143.1,143.38
2017-12-07,143.49,144.35,141.75,142.07
2017-12-08,142.28,144.41,141.09,144.41
2017-12-11,144.89,146.64,144.85,146.42
2017-12-12,146.56,147.33,146.07,146.15
2017-12-13,146.08,147.0,146.08,146.5
2017-12-14,146.17,147.87,146.17,146.26
2017-12-15,146.34,146.45,145.21,145.8
2017-12-18,145.9,146.63,145.9,146.05
2017-12-19,146.17,147.17,145.35,145.63
2017-12-20,145.7,147.02,145.7,146.94
2017-12-21,146.97,148.27,146.97,147.26
2017-12-22,147.38,148.0,147.38,147.67
2017-12-25,147.73,148.34,147.68,147.7
2017-12-26,147.74,148.17,145.13,145.19
2017-12-27,145.14,146.05,145.14,146.05
2017-12-28,146.19,148.0,146.19,148.0
2017-12-29,148.07,148.95,148.06,148.52
2018-01-02,148.5,149.18,148.31,149.18
2018-01-03,149.36,151.68,149.36,151.18
2018-01-04,151.23,152.33,151.23,152.27
2018-01-05,152.51,153.47,152.23,152.47
2018-01-08,152.55,153.27,152.07,152.12
2018-01-09,152.22,152.84,150.86,151.16
2018-01-10,151.21,151.72,149.82,149.94
2018-01-11,150.01,150.46,149.55,150.0
2018-01-12,150.06,151.07,150.06,150.61
2018-01-15,150.69,151.81,150.69,151.81
2018-01-16,151.91,153.02,151.91,152.47
2018-01-17,152.77,152.83,152.16,152.37
2018-01-18,152.55,154.23,152.55,153.02
2018-01-19,153.18,153.91,152.82,153.0
2018-01-22,153.02,154.78,153.02,154.78
2018-01-23,154.78,155.74,153.91,153.91
2018-01-24,153.92,154.38,153.64,154.23
2018-01-25,154.29,155.11,152.86,152.86
2018-01-26,152.84,153.67,152.48,152.86
2018-01-29,153.08,154.05,153.08,153.83
2018-01-30,153.93,154.41,152.5,152.5
2018-01-31,152.5,153.15,151.21,153.15
2018-02-01,153.15,154.31,152.87,152.87
2018-02-02,152.94,153.13,152.51,152.56
2018-02-05,152.14,152.14,148.6,150.69
2018-02-06,150.1,150.1,139.55,141.07
2018-02-07,141.8,146.52,141.8,144.37
2018-02-08,144.46,145.33,142.46,143.11
2018-02-09,142.17,142.17,136.88,141.57
2018-02-12,141.74,142.94,141.74,141.83
2018-02-21,142.15,146.08,142.15,145.9
2018-02-22,145.91,146.84,145.27,146.49
2018-02-23,146.59,148.35,146.59,147.62
2018-02-26,147.8,149.22,147.8,148.57
2018-02-27,148.75,149.81,148.29,148.36
2018-03-01,148.27,148.72,147.26,148.72
2018-03-02,148.59,148.59,147.19,147.79
2018-03-05,147.93,148.73,146.69,146.69
2018-03-06,146.91,148.64,146.91,148.62
2018-03-07,148.7,150.42,148.67,149.01
2018-03-08,149.1,151.1,149.1,150.27
2018-03-09,150.42,151.21,150.42,150.69
2018-03-12,151.03,152.5,151.03,152.24
2018-03-13,152.47,153.72,152.47,153.33
2018-03-14,153.4,153.85,153.04,153.48
2018-03-15,153.56,154.27,153.55,154.27
2018-03-16,154.3,154.85,153.89,154.29
2018-03-19,154.43,155.7,154.43,154.53
2018-03-20,154.43,154.49,153.79,154.47
2018-03-21,154.64,155.84,154.64,154.84
2018-03-22,154.97,156.4,153.49,153.49
2018-03-23,152.85,152.85,149.61,150.62
2018-03-26,150.71,152.4,150.7,152.29
2018-03-27,152.6,154.72,152.6,153.97
2018-03-28,153.9,154.01,152.93,153.11
2018-03-29,153.26,155.08,153.26,154.16
2018-03-30,154.49,155.71,154.49,154.63
2018-03-31,154.81,155.5,154.81,155.06
2018-04-02,155.22,156.1,154.65,154.66
2018-04-03,154.53,154.53,153.74,154.42
2018-04-09,154.57,155.55,154.21,154.65
2018-04-10,154.82,155.56,153.42,153.42
2018-04-11,153.65,155.01,153.65,154.3
2018-04-12,154.48,155.26,154.48,154.79
2018-04-13,154.98,156.17,154.98,155.28
2018-04-16,155.49,156.26,155.34,156.0
2018-04-17,156.06,156.44,152.94,152.94
2018-04-18,153.11,154.86,152.57,153.99
2018-04-19,154.09,155.99,154.09,155.2
2018-04-20,154.94,155.33,153.95,153.99
2018-04-23,153.97,154.96,152.71,152.79
2018-04-24,152.24,152.79,147.89,148.29
2018-04-25,147.62,148.93,146.73,148.88
